Version,Size,Run,Time_s,Energy_Joules
1,1024,1,5.744,91.75
1,1024,2,5.548,84.20
1,1024,3,5.554,91.69
1,1024,4,5.558,92.26
1,1024,5,5.561,93.42
1,1024,6,5.554,89.77
1,1024,7,5.556,93.97
1,1024,8,5.570,94.17
1,1024,9,5.564,94.40
1,1024,10,5.544,95.72
1,2048,1,63.510,1022.11
1,2048,2,68.486,1010.92
1,2048,3,67.060,1067.69
1,2048,4,68.368,1106.95
1,2048,5,67.803,1077.62
1,2048,6,67.052,1059.39
1,2048,7,56.640,979.42
1,2048,8,67.504,1077.20
1,2048,9,67.121,1081.57
1,2048,10,67.295,1012.81
1,3072,1,309.854,4711.85
1,3072,2,298.633,4127.50
1,3072,3,309.495,4252.50
1,3072,4,309.053,4574.06
1,3072,5,306.107,4373.58
1,3072,6,309.993,4588.57
1,3072,7,308.433,4526.15
1,3072,8,310.762,4588.10
1,3072,9,311.529,4707.21
1,3072,10,313.961,4704.90
2,1024,1,0.120,2.64
2,1024,2,0.125,2.68
2,1024,3,0.119,2.54
2,1024,4,0.130,2.66
2,1024,5,0.133,2.74
2,1024,6,0.132,2.77
2,1024,7,0.129,2.74
2,1024,8,0.131,2.64
2,1024,9,0.120,2.56
2,1024,10,0.121,2.59
2,2048,1,2.833,51.72
2,2048,2,2.873,49.89
2,2048,3,2.825,49.62
2,2048,4,2.884,50.23
2,2048,5,2.793,50.04
2,2048,6,2.821,53.55
2,2048,7,2.856,54.38
2,2048,8,2.786,49.68
2,2048,9,2.789,49.42
2,2048,10,2.875,54.16
2,3072,1,11.144,214.83
2,3072,2,11.209,207.56
2,3072,3,10.054,190.60
2,3072,4,9.366,190.06
2,3072,5,11.150,211.29
2,3072,6,11.153,210.01
2,3072,7,11.088,209.78
2,3072,8,11.118,205.91
2,3072,9,11.118,207.30
2,3072,10,11.150,208.76
